Flag country,Secrecy Jurisdiction,Global Rank as Maritime Flag CIA Factbook,Geography,UK Connection,Population,Oil Producing Rank*,Thousand barrels per day,Blurb,FSI Secrecy Score,FSI Rank,FSI URL,Vessels/Shipping State Info,Open to foreign entities with no economic activity in jurisdiction,Total vessel CIA Factbook 2010-2012,Foreign Owned CIA Factbook 2010-2012,Registered in other countries 2010-2012,Biggest foreign client Cia Factbook 2010-2012,Biggest national registered elsewhere,Oil tankers 2010-2012,Liquified Gas,CIA Factbook Link*,Offshore entities,*Mundi,Banking Secrecy FSI,Recorded Corporate Ownership FSI ,Trust and Foundations Register FSI,Public Company Ownership FSI,Public Company Accounts FSI ,Information Exchange FSI ,Avoids Promoting Tax Avoidance FSI,Efficiency of Tax Administration FSI,Harmful Legal Vehicles,Anti-Money Laundering,Bilateral Treaties,International Transparency Commitments,International Judicial Cooperation,News or References
Belize,Yes,33,Central America and Caribbean ,,331 900,97,0,"The jurisdiction, a tax haven connected to the City of London network, markets itself under as a ‘friendly flag’ providing attractive taxes and fees. Entities providing secrecy services advertise that for a initial total fee of $393, vessels, including oil rigs, can be registered in one day to any nationality. For an annual cost of less than $6000, ships of 10 000 G.T or more can maintain good standing. Opacity ring-fenced for foreign entities allow for bearer shares, zero disclosure, zero taxes, nominee representatives, and zero requirements for audits, tax returns, or annual accounts to be provided or filed. Under Belize law, the ship owner is not the actual owner, but the registered owner which can be concealed by nominees.[1] Various layers of secrecy within, and interlocked between, other tax havens can create opacity blocked by sovereign laws. In 2013, following scandal, the government took formal control of the International Business Companies Registry (IBCR) operated by a private company, Belize International Services Limited (BISL), which has created more than 100 000 companies. BISL was co-owned by UK-billionaire and major Tory party donor Lord Ashcroft via 77% stake in Waterloo Investment Holdings Limited (WIHL), based in the British Virgin Islands (BVI), and Panamanian law firm Morgan & Morgan[2]. Following the government’s action, WIHL released a press statement claiming, ‘disappointment and outrage at the Government of Belize’s unilateral decision…to assume control.’[3] Belize ranks 33 on the global maritime registry. The bulk of large ships are foreign-owned with China accounting for more than 30%. West African offshore oil industries such as Nigeria are connected to Belize for oil rigs.",80,52,http://www.financialsecrecyindex.com/database/Belize.xml,http://www.immarbe.com/IMMARBELIB/belize_merchantshipsact.pdf,Yes,247,152,tbc,China,---,9,1,https://www.cia.gov/library/publications/the-world-factbook/geos/bh.html#Trans,http://www.milonline.com/companies/belize-offshore-companies.html & http://www.belizeoffshoreinvestors.com/off14.html,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Belize had at least 46 bilateral tax information sharing",Partly ratified relevant international treaties relating to financial,Does not cooperate with other states on money laundering and other criminal,http://www.wwf.org.uk/filelibrary/pdf/flagsofconvenience.pdf
Italy,Partly,17,Southern Europe,,59.8m,44,101,,39,54,http://www.financialsecrecyindex.com/database/Italy.xml,,,681,90,201,US,"Liberia, Malta",59,28,https://www.cia.gov/library/publications/the-world-factbook/geos/it.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Partly requires that company ownership details are publicly available online,Requires that company accounts be available on public record,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Partly avoids promoting tax evasion via a tax credit system,Uses appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Italy had at least 46 bilateral tax information sharing agreements",Ratified relevant international treaties relating to financial transparency,Cooperates with other states on money laundering and other criminal issues,http://www.mondaq.com/x/12838/Marine+Shipping/The+New+Law+On+The+International+Register+Vessel+In+Italy
Liberia,Yes,2,Africa,,4.29m,No,0,,83,27,http://www.financialsecrecyindex.com/database/Liberia.xml,https://www.liscr.com/liscr/Maritime/MaritimeFAQ/VesselRegistration/tabid/109/Default.aspx,Yes,2771,2581,tbc,Germany,--,526,92,https://www.cia.gov/library/publications/the-world-factbook/geos/li.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Liberia had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Does not cooperate with other states on money laundering and other criminal,http://muse.jhu.edu/journals/wpj/summary/v027/27.4.sharife.html
Marshall Islands,Yes,7,Australia Oceania,,52634,No,0,,82,23,http://www.financialsecrecyindex.com/database/MarshallIslands.xml,https://www.register-iri.com/index.cfm?action=page&page=53,Yes,1593,1468,tbc,"Greece, USA",---,297,88,https://www.cia.gov/library/publications/the-world-factbook/geos/rm.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Marshall Islands had less than 46 tax information sharing",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.lrb.co.uk/blog/2010/06/09/khadija-sharife/offshore-exploitation/
Panama,Yes,1,Central America,,3 million ,No,0,,73,11,http://www.financialsecrecyindex.com/database/Panama.xml,http://www.panamashipregistry.net/en/pages/about-us,Yes,6413,5162,1,Japan,Honduras,545,205,https://www.cia.gov/library/publications/the-world-factbook/geos/pm.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Partly uses appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Panama had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://fpif.org/panama_free-trade_tax_haven/
Saint Vincent and the Grenadines,Yes,25,Caribbean ,,109373,No,0,,78,62,http://www.financialsecrecyindex.com/database/St%20Vincent%20&%20Grenadines.xml,"http://www.svg-marad.com/Downloads/Law%20and%20Directives/Shipping%20Acts/Shipping%20Act,%202004.pdf",Yes,412,325,tbc,"China, Greece",----,9,3,https://www.cia.gov/library/publications/the-world-factbook/geos/vc.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, St. Vincent and the Grenadines had less than 46 tax information",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A5-2001-0405&language=BG
Vanuatu,Yes,57,Oceania,,252763,No,0,,87,45,http://www.financialsecrecyindex.com/database/Vanuatu.xml,http://vanuatuships.com/downloads/Mari-Act.pdf,Yes,77,72,tbc,Japan,----,tbc,2,https://www.cia.gov/library/publications/the-world-factbook/geos/nh.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Does not disclose or prevent trusts and foundation,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record ,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Allows harmful legal vehicles,Does not comply with international anti-money laundering standards,"As of 31 May, 2012, Vanuatu had no tax information sharing agreements complying",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.newscientist.com/article/mg18825244.900-marauders-continue-to-plunder-the-oceans.html
Venezuela,No,69,South America,,30.4m,12,2300,,------,-----,------,,,53,9,14,Greece,Panama,16,5,https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,,-------,,,,,,,,,with basic OECD requirements,,,
Singapore,Yes,6,Southeast Asia,,5.4m,85,0,,70,5,http://www.financialsecrecyindex.com/PDF/Singapore.pdf,http://www.mpa.gov.sg/sites/pdf/00_introduction.pdf,Yes,1599,966,344,Norway,Panama,436,131,https://www.cia.gov/library/publications/the-world-factbook/geos/sn.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Does not require company ownership details are publicly available online,Does not require that company accounts be available on the public record,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Partly uses appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Singapore had less than 46 tax information sharing agreements",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,http://www.mua.org.au/livestock_carrier_fire_again_highlights_dangers_of_foc_shipping
Hong Kong,Yes,5,Southern coast of China,,,No,0,,72,3,http://www.financialsecrecyindex.com/PDF/HongKong.pdf,http://www.legislation.gov.hk/blis_pdf.nsf/6799165D2FEE3FA94825755E0033E532/4BAC95318B4ACD84482575EF0005D792?OpenDocument&bt=0,Yes,1644,976,341,China,"Panama, Liberia",156,31,https://www.cia.gov/library/publications/the-world-factbook/geos/hk.html,,http://www.indexmundi.com/g/r.aspx?c=bh&v=88,Does not adequately curtail banking secrecy,Does not maintain company ownership details in official records,Partly discloses or prevents trusts and private foundations,Partly requires that company ownership details are publicly available,Does not require that company accounts be available on the public record,Does not require that paying agents must disclose to domestic tax authorities about payments to non-residents,Does not avoid promoting tax evasion via a tax credit system,Does not use appropriate tools for efficiently analysing tax related information,Partly allows harmful legal vehicles,Partly complies with international anti-money laundering standards,"As of 31 May, 2012, Hong Kong had less than 46 tax information sharing",Partly ratified relevant international treaties relating to financial,Partly cooperates with other states on money laundering and others,
